property_id,city,size_sqft,bedrooms,age_years,distance_km,price_lakhs
1,Delhi,890,2,0,6.4,157.5
2,Hyderabad,611,1,1,4.8,41.0
3,Bengaluru,575,1,10,0.5,61.2
4,Bengaluru,575,1,8,3.2,49.0
5,Delhi,1541,3,0,2.8,277.7
6,Bengaluru,1031,2,2,1.8,106.2
7,Mumbai,492,2,2,7.7,100.2
8,Delhi,913,2,8,4.1,167.9
9,Hyderabad,770,2,0,0.5,73.6
10,Delhi,400,1,0,1.5,72.1
11,Bengaluru,400,1,12,6.9,32.9
12,Delhi,803,2,1,0.5,137.1
13,Chennai,1461,3,8,11.4,142.0
14,Mumbai,578,1,2,4.1,130.6
15,Hyderabad,468,1,0,3.9,46.0
16,Bengaluru,712,1,2,5.4,78.2
17,Delhi,450,1,10,10.4,63.4
18,Mumbai,554,1,15,2.6,108.0
19,Mumbai,661,2,14,6.8,136.9
20,Bengaluru,400,1,4,5.0,40.7
21,Delhi,1062,2,8,1.9,189.7
22,Chennai,400,1,1,12.7,35.6
23,Bengaluru,400,1,2,9.6,36.0
24,Delhi,750,2,18,6.4,89.6
25,Bengaluru,1015,2,0,11.4,82.0
26,Chennai,739,2,0,12.1,67.0
27,Mumbai,620,1,1,7.4,115.5
28,Mumbai,551,1,0,10.9,84.4
29,Mumbai,495,1,1,7.2,111.5
30,Chennai,1198,2,6,6.8,136.1
31,Bengaluru,807,1,4,5.8,82.8
32,Bengaluru,521,1,17,8.4,50.8
33,Chennai,426,2,13,1.0,38.1
34,Chennai,948,2,3,12.8,77.4
35,Bengaluru,1182,2,2,12.3,132.1
36,Hyderabad,1123,2,3,0.5,89.4
37,Delhi,400,1,7,10.5,58.2
38,Mumbai,548,1,2,0.8,131.7
39,Delhi,489,1,7,2.4,70.5
40,Mumbai,593,2,4,8.2,144.8
41,Bengaluru,1056,2,6,1.1,116.5
42,Hyderabad,1387,2,4,10.2,91.1
43,Mumbai,825,2,2,10.7,188.3
44,Mumbai,436,1,23,4.2,71.6
45,Bengaluru,652,1,11,0.5,67.6
46,Hyderabad,1531,4,1,2.0,138.4
47,Delhi,702,2,16,5.8,115.9
48,Bengaluru,551,1,5,23.8,45.5
49,Mumbai,580,1,17,6.0,110.1
50,Mumbai,823,2,12,1.8,199.8
51,Hyderabad,400,2,4,6.0,35.6
52,Hyderabad,482,2,0,4.7,41.2
53,Mumbai,1114,2,2,9.1,244.4
54,Hyderabad,810,1,6,0.7,52.0
55,Bengaluru,707,1,8,8.6,59.0
56,Hyderabad,1145,2,2,4.7,87.1
57,Bengaluru,419,1,1,19.8,33.5
58,Bengaluru,541,1,14,2.5,51.9
59,Bengaluru,795,1,33,6.0,62.3
60,Bengaluru,779,1,5,16.1,73.2
61,Mumbai,400,2,1,0.6,97.7
62,Mumbai,509,1,2,16.6,100.8
63,Delhi,602,1,0,7.0,95.0
64,Chennai,845,2,19,0.5,54.3
65,Delhi,777,2,1,2.1,120.0
66,Bengaluru,636,1,6,7.4,61.8
67,Hyderabad,400,2,2,0.5,28.4
68,Mumbai,655,2,6,5.2,156.7
69,Bengaluru,691,1,8,2.5,84.7
70,Bengaluru,2262,4,14,5.8,282.8
71,Hyderabad,591,1,1,0.5,45.9
72,Mumbai,797,1,0,12.3,190.2
73,Bengaluru,1250,3,1,21.8,117.4
74,Chennai,1023,3,18,20.8,66.2
75,Hyderabad,1418,2,16,8.3,87.7
76,Bengaluru,400,1,7,0.8,41.1
77,Bengaluru,400,1,7,8.5,36.9
78,Bengaluru,461,1,8,0.5,49.9
79,Hyderabad,400,1,1,0.5,32.5
80,Bengaluru,695,1,19,2.3,65.4
81,Mumbai,400,1,4,4.0,92.1
82,Hyderabad,1520,3,3,8.8,135.3
83,Bengaluru,400,1,5,6.9,44.7
84,Bengaluru,543,1,0,3.5,48.7
85,Delhi,1056,2,1,1.9,127.8
86,Bengaluru,400,1,10,30.0,30.3
87,Delhi,400,1,0,3.3,54.9
88,Bengaluru,744,2,7,3.6,78.5
89,Mumbai,778,2,2,1.1,162.3
90,Bengaluru,1039,2,3,9.5,84.5
91,Hyderabad,903,2,2,7.1,73.6
92,Mumbai,795,2,3,1.5,207.8
93,Hyderabad,425,1,10,0.5,29.2
94,Bengaluru,766,2,2,6.8,57.2
95,Hyderabad,793,1,6,6.4,52.6
96,Chennai,415,1,5,1.9,38.7
97,Bengaluru,1755,3,8,18.1,133.3
98,Chennai,879,1,22,1.0,69.5
99,Hyderabad,400,1,10,3.4,28.5
100,Bengaluru,1042,2,1,17.3,105.1
101,Delhi,1142,2,0,3.3,200.3
102,Bengaluru,849,1,2,6.1,78.0
103,Chennai,571,1,7,3.0,56.5
104,Chennai,403,1,0,1.9,36.7
105,Chennai,635,1,5,24.8,40.5
106,Bengaluru,815,1,7,3.2,74.9
107,Chennai,671,1,3,13.5,49.4
108,Mumbai,1453,3,11,1.6,304.9
109,Bengaluru,956,1,0,1.4,104.9
110,Mumbai,400,1,0,0.5,113.8
111,Delhi,400,1,10,6.3,48.6
112,Delhi,883,1,5,2.8,113.0
113,Delhi,579,2,9,12.0,97.4
114,Bengaluru,1002,1,4,3.8,102.9
115,Delhi,879,2,2,20.7,107.6
116,Bengaluru,637,2,13,1.2,75.9
117,Delhi,400,1,12,12.2,48.9
118,Delhi,400,1,9,9.0,69.0
119,Delhi,757,2,2,8.8,129.7
120,Mumbai,400,1,7,11.2,73.1
121,Bengaluru,400,1,3,8.6,50.2
122,Bengaluru,731,1,0,5.9,71.8
123,Bengaluru,690,1,19,0.8,71.9
124,Bengaluru,400,1,1,0.5,46.6
125,Delhi,1213,3,24,15.2,175.1
126,Hyderabad,1196,3,4,5.8,114.1
127,Bengaluru,899,2,1,9.6,95.1
128,Bengaluru,899,2,6,3.9,89.0
129,Mumbai,899,2,16,0.7,205.1
130,Delhi,1136,2,10,0.8,171.2
131,Delhi,969,2,13,6.9,178.0
132,Delhi,400,1,8,3.4,62.4
133,Bengaluru,574,1,9,1.3,57.2
134,Bengaluru,2128,5,15,4.1,251.2
135,Bengaluru,400,1,2,0.5,37.4
136,Chennai,491,1,5,5.2,37.1
137,Chennai,1217,3,2,1.9,140.6
138,Chennai,415,1,35,9.6,23.1
139,Hyderabad,984,1,23,2.2,55.2
140,Mumbai,685,1,0,3.6,165.7
141,Mumbai,434,1,9,0.5,108.6
142,Mumbai,400,1,20,0.5,86.2
143,Bengaluru,745,1,1,3.0,90.9
144,Hyderabad,400,2,6,3.9,28.1
145,Delhi,620,1,19,5.5,69.6
146,Hyderabad,894,2,0,2.1,87.4
147,Mumbai,1086,3,9,7.1,232.6
148,Hyderabad,490,1,2,11.8,32.4
149,Delhi,433,1,20,9.1,64.2
150,Mumbai,400,1,28,0.5,78.2
151,Bengaluru,1115,1,23,3.9,104.3
152,Delhi,1962,4,5,0.7,465.9
153,Delhi,1183,3,15,1.7,177.9
154,Delhi,1329,2,14,25.9,162.7
155,Chennai,417,1,3,0.9,38.5
156,Bengaluru,864,3,14,4.1,94.9
157,Delhi,1035,2,0,5.8,205.1
158,Bengaluru,400,1,7,7.3,41.7
159,Chennai,400,1,2,4.9,37.5
160,Delhi,1579,3,1,0.5,332.1
161,Bengaluru,400,1,0,2.4,42.3
162,Mumbai,1445,2,9,4.4,285.6
163,Mumbai,400,1,3,0.6,80.5
164,Bengaluru,400,1,10,2.6,31.1
165,Mumbai,873,2,0,0.5,270.5
166,Bengaluru,695,2,3,0.5,70.2
167,Chennai,521,2,6,3.0,46.5
168,Mumbai,1546,3,12,0.9,350.8
169,Bengaluru,400,1,3,5.0,43.4
170,Delhi,606,1,7,7.0,98.4
171,Hyderabad,936,2,17,9.7,67.0
172,Bengaluru,788,2,7,1.3,81.7
173,Chennai,443,1,2,1.1,40.0
174,Bengaluru,453,1,0,0.7,52.9
175,Mumbai,1077,3,16,6.1,221.7
176,Bengaluru,1105,3,0,7.4,151.3
177,Hyderabad,800,2,16,0.5,62.4
178,Bengaluru,400,2,6,16.5,39.9
179,Chennai,463,1,22,0.5,38.9
180,Hyderabad,658,1,12,4.7,51.7
181,Delhi,715,1,40,7.4,77.4
182,Delhi,915,3,3,12.3,121.5
183,Bengaluru,587,2,11,7.5,61.3
184,Bengaluru,1063,2,4,9.7,100.6
185,Chennai,1056,2,5,2.5,92.1
186,Hyderabad,1354,2,7,10.1,102.2
187,Delhi,675,3,16,0.5,127.0
188,Delhi,807,2,33,13.5,89.8
189,Chennai,614,1,11,4.8,52.0
190,Delhi,400,1,4,10.2,70.0
191,Chennai,1937,4,4,3.6,203.0
192,Bengaluru,1260,3,10,6.2,177.4
193,Bengaluru,1044,2,2,4.5,124.5
194,Mumbai,661,2,0,7.9,118.0
195,Bengaluru,400,2,3,0.5,50.8
196,Bengaluru,1149,3,2,0.5,148.1
197,Bengaluru,608,2,2,1.7,81.2
198,Mumbai,849,1,2,1.0,211.9
199,Chennai,461,1,0,12.3,36.7
200,Hyderabad,771,1,0,1.5,52.2
201,Delhi,480,1,35,22.3,42.2
202,Mumbai,492,2,4,2.5,103.7
203,Mumbai,765,1,3,1.2,162.6
204,Bengaluru,400,2,9,9.4,42.3
205,Bengaluru,400,1,1,6.5,50.1
206,Bengaluru,414,1,23,4.1,38.4
207,Delhi,583,1,12,4.9,72.7
208,Delhi,1081,1,0,7.6,177.0
209,Bengaluru,603,2,4,1.6,78.6
210,Bengaluru,659,1,16,30.0,39.5
211,Hyderabad,555,1,23,22.1,26.4
212,Mumbai,807,1,5,6.3,170.4
213,Bengaluru,400,1,7,1.3,38.4
214,Bengaluru,623,2,1,6.8,73.4
215,Bengaluru,844,2,37,0.5,69.8
216,Chennai,762,1,2,0.5,74.4
217,Bengaluru,671,1,22,1.8,55.1
218,Hyderabad,676,1,8,3.7,46.3
219,Mumbai,891,1,7,12.2,185.3
220,Mumbai,1988,4,5,7.8,454.4
221,Chennai,400,1,2,8.1,40.8
222,Bengaluru,2019,4,1,3.3,241.7
223,Delhi,400,2,1,2.5,71.1
224,Mumbai,400,1,1,2.8,101.3
225,Mumbai,474,1,12,26.4,57.7
226,Hyderabad,816,1,3,0.5,50.4
227,Mumbai,1763,5,0,12.1,353.9
228,Delhi,400,1,27,5.2,57.9
229,Delhi,888,2,17,3.5,123.5
230,Delhi,400,1,21,7.8,67.4
231,Mumbai,1728,4,40,4.0,286.8
232,Bengaluru,1273,2,1,12.4,131.8
233,Mumbai,492,1,4,13.9,111.7
234,Chennai,1386,2,11,3.3,150.6
235,Delhi,620,1,9,1.9,119.9
236,Bengaluru,1310,2,1,5.4,167.0
237,Hyderabad,668,1,13,14.6,44.8
238,Bengaluru,686,1,2,1.4,81.0
239,Bengaluru,499,1,2,5.9,56.9
240,Delhi,954,3,6,6.0,148.8
241,Delhi,716,1,7,7.9,94.4
242,Bengaluru,899,2,6,0.8,101.7
243,Hyderabad,400,1,0,7.5,28.8
244,Bengaluru,1336,2,16,14.4,109.4
245,Bengaluru,1521,3,2,1.2,201.4
246,Chennai,715,1,1,1.6,73.7
247,Bengaluru,1911,3,17,21.3,156.5
248,Mumbai,1670,3,24,1.2,411.0
249,Bengaluru,966,1,15,11.6,72.0
250,Hyderabad,1396,4,13,4.1,108.6
